gene1,gene2
PPP5C,HSP90AA1
PPP5C,CCT6B
PPP5C,CDC37
PPP5C,HSP90AB1
PPP5C,TSC1
PPP5C,CCT5
PPP5C,DNAJC9
PPP5C,PSMG2
PPP5C,CCT6A
MAP4K5,CRK
MAP4K5,GRB2
INMT,DDC
INMT,IDO1
INMT,MAOB
INMT,AANAT
INMT,IDO2
INMT,MAOA
INMT,AOC1
ERCC1,ERCC2
ERCC1,RAD52
ERCC1,GTF2H2
ERCC1,ERCC8
ERCC1,RPA1
ERCC1,PAXX
ERCC1,ZSWIM7
ERCC1,KDM1A
ERCC1,WRN
ERCC1,RCOR1
ERCC1,FANCC
ERCC1,GTF2H1
ERCC1,FANCM
ERCC1,XRCC4
ERCC1,LIG1
ERCC1,ERCC5
ERCC1,XPC
ERCC1,RAD51
ERCC1,LIG4
ERCC1,MSH2
ERCC1,ERCC4
ERCC1,XPA
ERCC1,XRCC5
ERCC1,DDB2
ERCC1,ERCC3
ERCC1,XRCC1
ERCC1,XRCC6
ERCC1,MSH3
ERCC1,MLH1
ERCC1,MSH6
ERCC1,FEN1
ERCC1,POLD1
ERCC1,FANCL
ERCC1,FANCI
ERCC1,BRCA2
ERCC1,RAD23B
ERCC1,DCLRE1C
ERCC1,SLX1A
ERCC1,MUS81
ERCC1,SWSAP1
ERCC1,ATM
ERCC1,DDB1
ERCC1,PRKDC
ERCC1,ERCC6
ERCC1,PARP1
ERCC1,NHEJ1
ERCC1,FANCG
ERCC1,XRCC3
ERCC1,PHF21A
ERCC1,ATP23
ERCC1,CETN2
ERCC1,BIVM-ERCC5
ERCC1,FANCD2
ERCC1,EME1
ERCC1,BRCA1
ERCC1,SLX4
HEBP1,FPR3
COX15,UQCRFS1
COX15,NDUFS4
COX15,COX2
COX15,SURF1
COX15,SCO2
COX15,COX4I2
COX15,CYC1
COX15,UQCRC2
COX15,SCO1
COX15,COX10
COX15,COX7C
COX15,COX6B1
COX15,COX3
COX15,COA3
COX15,COX1
COX15,NDUFA4
COX15,PET117
COX15,CYTB
COX15,COX5A
COX15,BCS1L
COX15,COX11
COX15,TACO1
COX15,HCCS
MS4A12,MS4A4E
MS4A12,MS4A6E
RGPD5,RANGAP1
RGPD5,TNPO1
XYLT2,SLC6A20
XYLT2,GRB2
XYLT2,XYLT1
XYLT2,B4GALT7
SCTR,GNAS
SCTR,VIP
SCTR,SCT
SCTR,GNG2
SCTR,GNB1
SCTR,ANO6
SCTR,ADCYAP1
SNAI2,HDAC1
SNAI2,CDH2
SNAI2,TP53
SNAI2,CDH1
SNAI2,SOX9
SNAI2,SIN3A
SNAI2,VIM
SNAI2,MDM2
SNAI2,SNAI1
SNAI2,TWIST1
SNAI2,KDM1A
SLC7A9,SLC3A2
SLC7A9,SLC3A1
RB1CC1,BECN1
RB1CC1,ULK2
RB1CC1,GABARAPL2
RB1CC1,PTK2B
RB1CC1,ULK1
RB1CC1,CCPG1
RB1CC1,ATG5
RB1CC1,WIPI1
RB1CC1,SQSTM1
RB1CC1,ATG7
RB1CC1,NBR1
RB1CC1,PTK2
RB1CC1,TP53
RB1CC1,ATG12
RB1CC1,ATG16L1
RB1CC1,BECN2
RB1CC1,MAP1LC3A
RB1CC1,C9orf72
RB1CC1,WIPI2
RB1CC1,GABARAP
RB1CC1,ATG16L2
RB1CC1,MAP1LC3B
RB1CC1,ATG14
RB1CC1,SESN2
RB1CC1,TBKBP1
RB1CC1,SMCR8
RB1CC1,OPTN
RB1CC1,PIK3C3
RB1CC1,NRBF2
RB1CC1,CALCOCO2
RB1CC1,GABARAPL1
RB1CC1,MTOR
RB1CC1,AMBRA1
RB1CC1,AKT1S1
RB1CC1,TBK1
RB1CC1,ATG10
RB1CC1,MAP3K5
RB1CC1,PIK3R4
RB1CC1,ATG101
RB1CC1,MAP1LC3C
RB1CC1,ATG13
RB1CC1,ATG3
RB1CC1,RPTOR
AKAP11,PRKACA
AKAP11,AKAP1
AKAP11,PRKACB
AKAP11,GSK3B
AKAP11,IQGAP2
PIGQ,PIGP
PIGQ,PIGH
PIGQ,PIGC
PIGQ,DPM2
PIGQ,PIGA
PIGQ,PIGY
PIGQ,PIGL
CDH17,CTNND2
CDH17,VCL
CDH17,PTPN1
CDH17,CLDN5
CDH17,PECAM1
CDH17,AFDN
CDH17,OCLN
CDH17,DSP
CDH17,KDR
CDH17,PSEN1
CDH17,CTNND1
CDH17,CTNNA2
CDH17,CTNNA1
CDH17,NECTIN1
CDH17,CTNNB1
CDH17,KLRG1
CDH17,TJP1
B4GALT7,XYLT1
B4GALT7,B3GALT6
B4GALT7,B3GAT3
CHPF2,CSGALNACT2
CHPF2,CSGALNACT1
CHPF2,CHPF
GABARAPL2,PLEKHM1
GABARAPL2,WIPI2
GABARAPL2,CD300C
GABARAPL2,MAP1LC3B
GABARAPL2,GABARAP
GABARAPL2,BCL2L13
GABARAPL2,MAP1B
GABARAPL2,ATG12
GABARAPL2,PRKACB
GABARAPL2,BECN2
GABARAPL2,ATG16L1
GABARAPL2,SQSTM1
GABARAPL2,WIPI1
GABARAPL2,NBR1
GABARAPL2,MAP1A
GABARAPL2,ATG7
GABARAPL2,SIRT1
GABARAPL2,TECPR2
GABARAPL2,ATG4D
GABARAPL2,TBC1D5
GABARAPL2,ATG5
GABARAPL2,MAP1S
GABARAPL2,PEX6
GABARAPL2,PEX10
GABARAPL2,BNIP3
GABARAPL2,FUNDC1
GABARAPL2,PSMD4
GABARAPL2,ULK1
GABARAPL2,TBC1D15
GABARAPL2,BECN1
GABARAPL2,TAX1BP1
GABARAPL2,ULK2
GABARAPL2,ATG4C
GABARAPL2,RETREG1
GABARAPL2,ATG13
GABARAPL2,PRKACG
GABARAPL2,ATG3
GABARAPL2,PRKACA
GABARAPL2,BNIP3L
GABARAPL2,ATG4A
GABARAPL2,TBC1D17
GABARAPL2,PIK3R4
GABARAPL2,ATG4B
GABARAPL2,ATG10
GABARAPL2,NCOA4
GABARAPL2,CALCOCO2
GABARAPL2,TP53INP2
GABARAPL2,GABARAPL1
GABARAPL2,TBC1D25
GABARAPL2,UBA5
GABARAPL2,ATG14
GABARAPL2,PIK3C3
GABARAPL2,OPTN
GABARAPL2,ATL3
MYOC,CYP1B1
MYOC,FLOT1
MYOC,SPARCL1
MYOC,OPTN
MYOC,FBN1
MYOC,ASB10
MYOC,OLFM3
OTC,ARG1
OTC,ACY1
OTC,ARG2
OTC,PGM5
OTC,NAGS
OTC,GBE1
OTC,NOS1
OTC,PGM1
OTC,AGMAT
OTC,NOS2
OTC,CAD
OTC,NOS3
OTC,ASS1
OTC,OAT
OTC,CPS1
OTC,ASL
HOXC8,HOXC9
MRI1,CYREN
MRI1,ADI1
MRI1,ENOPH1
MRI1,PNP
MRI1,MTAP
MRI1,APIP
BOD1L1,HCFC2
BOD1L1,CXXC1
BOD1L1,SETD1A
BOD1L1,WDR5
BOD1L1,RBBP5
RTN4R,OMG
RTN4R,NGFR
RTN4R,RTN4
RTN4R,LINGO1
RTN4R,ANPEP
RTN4R,MAG
RTN4R,KIAA0319L
RTN4R,TNFRSF19
PSMA4,PSME2
PSMA4,UBC
PSMA4,PSMD8
PSMA4,PSMC6
PSMA4,PSMB3
PSMA4,POMP
PSMA4,DESI1
PSMA4,PSMA3
PSMA4,PSMC1
PSMA4,PSMB8
PSMA4,PSMD14
PSMA4,PSMB9
PSMA4,PSMD1
PSMA4,PSMB2
PSMA4,CHRNA3
PSMA4,PSMA5
PSMA4,CHRNB4
PSMA4,AKIRIN2
PSMA4,PSMD2
PSMA4,PSMA8
PSMA4,PSMD7
PSMA4,PSMB1
PSMA4,PSMD13
PSMA4,PSMA6
PSMA4,CHRNA5
PSMA4,RPS27A
PSMA4,PSMD12
PSMA4,PRKN
PSMA4,UBQLN4
PSMA4,PSMA1
PSMA4,PSME3
PSMA4,PSMB6
PSMA4,PSME1
PSMA4,ADRM1
PSMA4,PSMB4
PSMA4,PSMB5
PSMA4,PSMD6
PSMA4,PSMB7
PSMA4,UCHL5
PSMA4,PSMB11
PSMA4,PSMF1
PSMA4,HYKK
PSMA4,PSMB10
PSMA4,UBB
PSMA4,PSMG2
PSMA4,UBE2V2
PSMA4,PSMD3
PSMA4,USP14
PSMA4,PSMA2
PSMA4,PSMD4
PSMA4,PSMC2
PSMA4,PSMA7
PSMA4,PSMC3
PSMA4,PSMC4
PSMA4,PSMC5
PSMA4,PSME4
PSMA4,UBA52
PSMA4,PSMD11
ZPBP,SPA17
LCP2,LAT
LCP2,LAT2
LCP2,ITK
LCP2,CD247
LCP2,FYN
LCP2,TYROBP
LCP2,NCK2
LCP2,RABIF
LCP2,TEC
LCP2,MAP4K1
LCP2,PTPN11
LCP2,GRAP2
LCP2,VAV3
LCP2,CD6
LCP2,PTPN6
LCP2,LYN
LCP2,PTPRC
LCP2,VAV1
LCP2,UBASH3A
LCP2,RAP1B
LCP2,PLCG1
LCP2,PIK3R1
LCP2,CD3D
LCP2,BLNK
LCP2,GRB2
LCP2,FYB1
LCP2,PLCG2
LCP2,SOS1
LCP2,RAP1A
LCP2,SYK
LCP2,SHC1
LCP2,BTK
LCP2,FCER1G
LCP2,NCK1
LCP2,ZAP70
LCP2,GRAP
LCP2,SRC
LCP2,RANGAP1
LCP2,CBL
LCP2,SKAP1
LCP2,VAV2
LCP2,WAS
DCN,MMP14
DCN,FGF7
DCN,ACAN
DCN,RETN
DCN,ERBB2
DCN,TLR4
DCN,MFAP2
DCN,MMP2
DCN,TGFB2
DCN,VCAN
DCN,FGF5
DCN,FGF8
DCN,FBN1
DCN,EGFR
DCN,VTN
DCN,RETNLB
DCN,FGF17
DCN,SDC1
DCN,FGF22
DCN,LUM
DCN,ERBB4
DCN,FGF9
DCN,TGFB1
DCN,CCN2
DCN,FN1
DCN,SPARC
DCN,MSTN
DCN,FGF18
DCN,BGN
DCN,TLR2
DCN,FGF6
DCN,KDR
DCN,COL1A2
DCN,FGF20
DCN,EGF
DCN,DPT
DCN,FGF3
DCN,YBX1
DCN,MET
DCN,COL3A1
DCN,ERBB3
DCN,TNF
DCN,THBS1
DCN,YBX3
DCN,FGF4
DCN,FMOD
DCN,COL14A1
DCN,P3H3
DCN,COL1A1
DCN,HSPG2
DCN,TGFB3
DCN,IGF1
DCN,FGF16
DCN,FGF10
TNFRSF17,TNFSF13
TNFRSF17,CD40LG
TNFRSF17,TNFRSF13B
TNFRSF17,TNFSF13B
TNFRSF17,POU2AF1
TNFRSF17,TNFRSF13C
TNFRSF17,MZB1
MRPS10,MRPS23
MRPS10,RPL26
MRPS10,UBA52
MRPS10,RPS6
MRPS10,MRPS28
MRPS10,HIBCH
MRPS10,RPS15
MRPS10,RPS2
MRPS10,MRPL50
MRPS10,MRPS24
MRPS10,RPL22L1
MRPS10,MRPL17
MRPS10,RPS8
MRPS10,RPL37A
MRPS10,RPS10-NUDT3
MRPS10,MRPS6
MRPS10,RPL24
MRPS10,MRPL51
MRPS10,MTIF3
MRPS10,TEKTL1
MRPS10,MRPS33
MRPS10,MRPS9
MRPS10,MRPS25
MRPS10,MRPL39
MRPS10,MRPL21
MRPS10,RPL8
MRPS10,RPL17
MRPS10,RPL23A
MRPS10,MED1
MRPS10,RPS25
MRPS10,MRPS31
MRPS10,MRPL12
MRPS10,RPL10A
MRPS10,MRPS22
MRPS10,MCAT
MRPS10,RPS5
MRPS10,RPS28
MRPS10,RPL26L1
MRPS10,POLR2B
MRPS10,MRPL33
MRPS10,RPS4X
MRPS10,MRPS18A
MRPS10,RPS7
MRPS10,POLR1C
MRPS10,RPL4
MRPS10,RPLP1
MRPS10,SEC61A1
MRPS10,MRPL36
MRPS10,POLR2C
MRPS10,RSAD1
MRPS10,RPS17
MRPS10,KGD4
MRPS10,RPL30
MRPS10,MRPL18
MRPS10,EIF5A2
MRPS10,MRPL3
MRPS10,ERAL1
MRPS10,RPL5
MRPS10,MRPS26
MRPS10,WDR31
MRPS10,RPL19
MRPS10,RPS16
MRPS10,RPS18
MRPS10,RPL34
MRPS10,MRPL54
MRPS10,PTCD3
MRPS10,MRPL37
MRPS10,METTL15
MRPS10,RPL35
MRPS10,MRPL49
MRPS10,RACK1
MRPS10,RPL15
MRPS10,RPS19
MRPS10,RPL7L1
MRPS10,RPL23
MRPS10,MRPL45
MRPS10,MRPS16
MRPS10,RPL36
MRPS10,MRPL13
MRPS10,MRPL4
MRPS10,MRPL2
